,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
102383,Floating and Sinking Kit 3,11 plastic pans,***?,***********,,Laila & Vanessa,All items that need to be cleaned or trashed will be located on the top of the bin with blue masking tape
,,Bag of 20 plastic tubes - dirty/sticky,,***********,,,Bins with blue and tan masking tape means they are finished and need to be trashed or some items need to cleared out
,,Bag of 14 Large Fishing Bobbers,,,,,
,,Bag of 43 Medium/Small Fishing Bobbers,,,,,
,,Bag of 31 Small Plastic Container Lids,,,,,
,,Bag of 3x4 Bags - 15,,,,,
,,7 small Black Binder Clips,,,,,
,,Bag of 15 Plastic Disopsable Pipettes,,,,,
,,Bag of 14 cardboard squares,,,,,
,,Bag of 5 ziplock bags ,,,,,
,,Bag of one sponge ,,,,,
,,Bag of 14 section cups with hooks,,,,,
,,Bag of pennies,,,,,
,,Bag of Green Clay ~2 lbs,,,,,
,,Bag of 18 bobbypins,,,,,
,,Bag of paper clips,,,,,
,,Bag of 24 1x1 polyethylene cylinders,,,,,
,,Bag of 4in straws,,,,,
,,Bag of 14 aluminum nuts,,,,,
,,Bag of 22 acetyl derlin dylinders,,,,,
,,Bag of blue marbles,,,,,
,,Bag of 20 screws,,,,,
,,Bag of 12 small popsicle sticks,,,,,
,,2 carolina 'Top's with wooden dowels ,,,,,
,,Bag of 30 tasting spoons,,,,,
,,2 wooden slabs with 3 holes (ruler sized),,,,,
,,Bag of 24 wooden cylinders 0.5x0.5,,,,,
,,Bag of 12 plastic cylinders 0.5x0.5,,,,,
,,2 bags of modeling clay,,,,,
,,Bag of 13 metal cylinders 0.5x0.5,,,,,
,,2 containers of play dough,,,,,
,,Bag of 8 sponge pieces,,,,,
,,Bag of 13 wood barrel beads,,,,,
,,Bag of 6 1x1 metal cubes,,,,,
,,bag of 2 sets of hardware,,,,,
,,Bag of 8 washers,,,,,
,,Bag of 12 wooden cylinders,,,,,
,,Bag of 6 rubber cylinders,,,,,
,,Bag of 6 metal cylinders,,,,,
,,3 plastics dishes,,,,,
,,Roll of 60-yd Nylon Braided Casting Line,,,,,
,,Bag of 6 acrylic cylinders,,,,,
,,Bag of 10 acrylic cylinders 0.5x0.5,,,,,
,,Bag of 6 plastic cylinders,,,,,
,,Bucket,,,,,
107021,Chemical Tests 1,8 buckets,,,,Laila & Vanessa,
,,Container of cupcake liners,,,,,
,,Container of baby powder,,,,,
,,Container of sugar,,,,,
,,Container of Alum,,,,,
,,Container of baking soda,,,,,
,,Container of corn starch,,,,,
,,18 coffee filters,,,,,
